No_of_Vehicles,weight_1/million,VMT/1000,VMT/10000,GAL,CO2_1,weight_2/millions,CO2_2
220427,811.7020144845296,9076,9076,363.04,5707957.398186041,324.6808057938119,2283182.959274417
33406,120.86285857731612,1173,1173,46.92,109845.04873455143,48.34514343092645,43938.01949382057
284576,1054.0532310750762,9211,9211,368.44,7522443.564497922,421.6212924300305,3008977.425799169
138704,495.5638707503673,5158,5158,206.32,1980480.5714419896,198.22554830014693,792192.2285767959
57638,207.2880697091021,2380,2380,95.2,382244.1754572573,82.91522788364085,152897.67018290295
57215,204.12506991321482,2032,2032,81.28,321373.203670918,81.65002796528593,128549.2814683672
93295,334.54318078350406,3721,3721,148.84,964498.2941288103,133.81727231340162,385799.31765152415
61220,220.33240931362295,2216,2216,88.64,378301.2284314083,88.13296372544919,151320.49137256332
39066,138.78494833717843,1377,1377,55.08,148069.60586695632,55.51397933487138,59227.842346782534
63221,218.98451540649577,2115,2115,84.6,358850.3633656555,87.59380616259831,143540.14534626217
53247,188.20185445194645,2030,2030,81.2,296012.1575636173,75.28074178077858,118404.86302544692
33074,117.29505790010543,1549,1549,61.96,140773.44662369162,46.918023160042175,56309.378649476654
37972,134.58610553288588,1576,1576,63.04,164341.04775740285,53.834442213154354,65736.41910296115
235344,837.5017027269674,7740,7740,309.6,5022457.511171893,335.000681090787,2008983.0044687574
663983,2395.555435871378,21266,21266,850.64,39471319.69553172,958.2221743485512,15788527.878212687
30814,108.95434653904283,1644,1644,65.76,138782.90873625243,43.581738615617134,55513.16349450098
37611,131.87255953797055,1197,1197,47.88,122303.30637863344,52.749023815188224,48921.322551453384
42223,145.82361772356055,1226,1226,49.04,138518.55442897524,58.32944708942422,55407.421771590096
46320,164.6139369069541,2808,2808,112.32,358140.40230994654,65.84557476278165,143256.16092397866
42967,150.90964245751536,1966,1966,78.64,229874.139058979,60.363856983006144,91949.6556235916
5140,18.07489868395564,300,300,12.0,4201.32945009865,7.229959473582257,1680.5317800394598
46709,161.53686476970293,1847,1847,73.88,231168.23493512606,64.61474590788117,92467.29397405042
82147,284.9659493025888,3184,3184,127.36,703000.5101825523,113.98637972103552,281200.2040730209
529486,1987.4062051234496,13393,13393,535.72,20623108.295283187,794.9624820493799,8249243.318113276
23414,77.01121656206216,825,825,33.0,49226.339738635754,30.804486624824865,19690.535895454304
49281,175.0474420498261,1911,1911,76.44,259182.73472949225,70.01897681993044,103673.09389179692
52612,186.34396037603975,2194,2194,87.76,316768.1852955862,74.5375841504159,126707.27411823448
535070,1909.546306216789,16847,16847,673.88,24925414.105822373,763.8185224867157,9970165.642328952
39343,137.16470058459723,1992,1992,79.68,211700.21834578834,54.865880233838894,84680.08733831534
987402,3700.1101480627794,25850,25850,1034.0,74107952.10928722,1480.0440592251118,29643180.84371489
246329,950.4904474150047,8860,8860,354.4,6524858.388102311,380.1961789660019,2609943.3552409243
161318,575.837997123467,4048,4048,161.92,1806052.7661332693,230.33519884938679,722421.1064533078
164028,578.7395422179482,5782,5782,231.28,2592691.5712491157,231.49581688717927,1037076.6284996463
331771,1195.3094320717382,12136,12136,485.44,11239462.077354003,478.12377282869534,4495784.830941602
90480,324.7535277187352,3912,3912,156.48,984333.6581775742,129.9014110874941,393733.4632710297
286403,1032.8068695584473,11890,11890,475.6,9514601.086527893,413.1227478233789,3805840.434611157
30530,108.74067101765787,764,764,30.56,64368.735735023736,43.496268407063155,25747.494294009495
93304,326.11870652313155,3030,3030,121.2,765610.6246567908,130.44748260925263,306244.2498627163
44985,158.3766269440514,1676,1676,67.04,205662.31289227674,63.35065077762056,82264.9251569107
86631,310.33756725731126,3396,3396,135.84,816566.6619888364,124.13502690292451,326626.66479553457
809291,3003.3186437910435,20289,20289,811.56,47211920.4056115,1201.3274575164176,18884768.162244603
119132,419.09781848710657,3596,3596,143.84,1167682.2951906614,167.63912739484263,467072.9180762646
277078,1027.7498300781895,5856,5856,234.24,4663136.128225868,411.0999320312758,1865254.4512903471
214701,788.9487248779335,7392,7392,295.68,4518563.073285846,315.5794899511734,1807425.2293143386
196177,693.2633145430897,7335,7335,293.4,3939924.952152076,277.3053258172359,1575969.9808608308
121786,431.43828334637914,3142,3142,125.68,1050302.6760453458,172.57531333855167,420121.0704181383
26644,92.80610878983408,919,919,36.76,66081.77307004402,37.12244351593363,26432.709228017604
15521,55.373612649158574,501,501,20.04,21494.641015364603,22.14944505966343,8597.85640614584
24984,89.81281469139235,1335,1335,53.4,92898.6033785592,35.92512587655694,37159.44135142369
78042,272.96263332512393,2655,2655,106.2,561509.7952373126,109.18505333004958,224603.91809492503
74285,267.28437048700283,3315,3315,132.6,686509.7487897883,106.91374819480114,274603.8995159154
1229431,4532.45966601565,36344,36344,1453.76,127631032.88597608,1812.9838664062602,51052413.15439043
60949,218.9261953254007,2500,2500,100.0,424060.04034530115,87.57047813016028,169624.01613812047
39336,139.94818277473576,1543,1543,61.72,167310.3476573941,55.97927310989431,66924.13906295765
59875,211.51826988666738,1967,1967,78.68,322360.52728460956,84.60730795466696,128944.21091384384
147780,520.8941684883345,5871,5871,234.84,2369469.855043495,208.3576673953338,947787.9420173982
57485,202.81180794972406,2287,2287,91.48,359375.9525843335,81.12472317988963,143750.3810337334
51033,176.6427946527904,1486,1486,59.44,203378.17622331527,70.65711786111616,81351.27048932611
77357,272.59502896336954,2128,2128,85.12,449447.7053220623,109.03801158534782,179779.0821288249
646173,2401.0211637865305,21744,21744,869.76,40450606.682828024,960.4084655146122,16180242.673131209
31643,112.28668105593115,920,920,36.8,80039.74284356463,44.91467242237246,32015.89713742585
17846,64.25036262105459,567,567,22.68,28225.92960363569,25.700145048421838,11290.371841454275
